iter	Passed	Remaining
0	1	107
1	2	100
2	2	95
3	3	91
4	4	89
5	5	88
6	6	88
7	7	85
8	8	84
9	9	83
10	10	83
11	11	82
12	12	81
13	13	80
14	14	79
15	14	78
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	22	69
24	23	69
25	23	67
26	24	66
27	25	65
28	26	64
29	27	64
30	28	62
31	29	61
32	30	61
33	30	60
34	31	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	51
43	39	50
44	40	49
45	41	49
46	43	48
47	44	47
48	45	47
49	46	46
50	47	45
51	48	45
52	49	44
53	50	43
54	51	42
55	53	41
56	54	40
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	66	31
68	67	30
69	67	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
